Year,mean,min,max
1965,6.014159292035398,5.5,8.7
1966,6.040470085470085,5.5,8.1
1967,6.003921568627451,5.5,7.4
1968,6.078524590163934,5.5,8.2
1969,6.009349845201238,5.5,7.8
1970,6.035768115942029,5.5,8.0
1971,5.972538860103628,5.5,8.1
1972,5.94381443298969,5.5,8.0
1973,5.814064837905237,5.5,7.7
1974,5.830332409972299,5.5,7.6
1975,5.8482766990291255,5.5,7.9
1976,5.825842450765864,5.5,8.0
1977,5.783764705882353,5.5,7.9
1978,5.8185365853658535,5.5,7.7
1979,5.828370786516854,5.5,7.9
1980,5.845689655172413,5.5,7.9
1981,5.862772585669782,5.5,7.7
1982,5.817630057803468,5.5,7.2
1983,5.876732891832229,5.5,7.6
1984,5.851701244813278,5.5,7.6
1985,5.894873949579832,5.5,8.0
1986,5.857092783505155,5.5,8.0
1987,5.903564356435644,5.5,7.9
1988,5.848875255623722,5.5,7.8
1989,5.843333333333334,5.5,8.2
1990,5.860625,5.5,7.8
1991,5.882284382284382,5.5,7.6
1992,5.882701688555347,5.5,7.8
1993,5.888841201716738,5.5,7.8
1994,5.8775,5.5,8.3
1995,5.904822335025381,5.5,8.0
1996,5.872088724584104,5.5,8.2
1997,5.8598684210526315,5.5,7.8
1998,5.868814432989691,5.5,8.1
1999,5.890605381165919,5.5,7.7
2000,5.858227848101266,5.5,8.0
2001,5.878329571106095,5.5,8.4
2002,5.866216216216216,5.5,7.9
2003,5.885731958762887,5.5,8.3
2004,5.850910683012259,5.5,9.1
2005,5.855347091932458,5.5,8.6
2006,5.859645669291338,5.5,8.3
2007,5.886019736842105,5.5,8.4
2008,5.908858267716535,5.5,7.9
2009,5.867117988394584,5.5,8.1
2010,5.899642857142857,5.5,8.8
2011,5.864656381486676,5.5,9.1
2012,5.872808988764045,5.5,8.6
2013,5.88177874186551,5.5,8.3
2014,5.886916666666666,5.5,8.2
2015,5.913071748878924,5.5,8.3
2016,5.892835820895522,5.5,7.9
