Type,min,max,mean
Caldera,-2,5323,1284.4583333333333
Caldera(s),897,2181,1373.0
Complex,212,4276,1743.28125
Complex(es),1158,1158,1158.0
Compound,228,5790,2832.2
Cone(s),1326,1326,1326.0
Crater rows,140,803,478.25
Explosion crater(s),-48,500,226.0
Fissure vent,1053,1053,1053.0
Fissure vent(s),298,1950,788.4285714285714
Lava cone,1855,1855,1855.0
Lava dome,646,2400,1523.0
Lava dome(s),-40,5408,1536.888888888889
Maar,583,1230,906.5
Maar(s),91,91,91.0
Pyroclastic cone,609,3850,1688.4
Pyroclastic cone(s),0,5808,1707.9
Pyroclastic shield,688,1544,1188.6666666666667
Shield,191,4278,1735.1363636363637
Shield(s),367,4282,1403.2857142857142
Stratovolcano,75,6879,2223.8432601880877
Stratovolcano(es),321,6142,2266.826666666667
Stratovolcano?,1654,1899,1776.5
Subglacial,1100,1500,1363.3333333333333
Submarine,-4200,283,-789.7910447761194
Volcanic field,0,3930,1546.35
